Total # of Sentences = 92029 : Total # of Words = 697360
8 : this kind of
8 : theyre gonna be
8 : really really really
8 : Thats not the
8 : Ive been trying
8 : cut back to
8 : sleep with the
8 : that Im gonna
8 : right this is
8 : Oh well thats
8 : to the store
8 : have such a
8 : but there is
8 : this was a
8 : is a lot
8 : up there and
8 : Im sure that
8 : Im Im just
8 : ever happened to
8 : just gonna take
8 : no wait a
8 : youre gonna make
8 : found out about
8 : whoa whoa whoa
8 : do something about
8 : youre gonna get
8 : Thats not what
8 : to apologize to
8 : have to sleep
8 : Hold on a
8 : youll have to
8 : dont do that
8 : really nice to
8 : Im gonna need
8 : Im gonna Im
8 : Okay well then
8 : is the first
8 : a little less
8 : mean look at
8 : hey hey hey
8 : Im gonna say
8 : goes over to
8 : say this but
8 : that would have
8 : continued from earlier
8 : might want to
8 : is knocking on
8 : the uh the
8 : sitting next to
8 : having a baby
8 : got off the
8 : is entering with
8 : just talking about
8 : Scene The beach
8 : gets up and
8 : gonna Im gonna
8 : to the hallway
8 : to leave for
8 : has got to
8 : and and then
8 : the one with
8 : to say to
8 : But Im not
8 : a pair of
8 : Well that was
8 : a really great
8 : coming up the
8 : a list of
8 : love to but
8 : maybe this is
8 : the people who
8 : wanna get some
8 : there is nothing
8 : Hey Rach can
8 : to the big
8 : to go through
8 : have the baby
8 : the part where
8 : like to have
8 : to see what
8 : this place is
8 : the only way
8 : for a new
8 : and see if
8 : is entering from
8 : and look at
8 : And then when
8 : talking to the
8 : have been a
8 : Well what do
8 : seems to be
8 : a glass of
8 : back and forth
8 : gang is watching
8 : and take a
8 : ran out of
8 : Why why why
8 : may not be
8 : to hear the
8 : be okay if
8 : all kinds of
8 : may be a
8 : right there in
8 : having dinner with
8 : to come over
7 : are sitting around
7 : have to leave
7 : never should have
7 : supposed to take
7 : to be really
7 : something in the
7 : watching TV and
7 : time to get
7 : with all of
7 : Oh thats all
7 : at work and
7 : returning from the
7 : go with the
7 : is watching TV
7 : dont look at
7 : thanks for the
7 : have to know
7 : even know how
7 : like to talk
7 : Ive been looking
7 : kind of thing
7 : the woman who
7 : Im still on
7 : wouldnt have to
7 : get in there
7 : should take a
7 : theres a lot
7 : and then when
7 : want people to
7 : Youre just gonna
7 : the whole thing
7 : guess Im just
7 : and then well
7 : were just talking
7 : found out that
7 : dont need that
7 : Oh honey Im
7 : not one of
7 : really hard to
7 : up with that
7 : up with this
7 : kind of like
7 : get married in
7 : to meet the
7 : no matter what
7 : just talked to
7 : think that youre
7 : what else is
7 : took care of
7 : right yknow what
7 : really know what
7 : gonna be with
7 : a guy in
7 : very important to
7 : gonna get married
7 : Im just glad
7 : Oh that was
7 : at the wedding
7 : Youre right Im
7 : Now wait a
7 : know how long
7 : couple of hours
7 : the best thing
7 : gonna do about
7 : Im doing this
7 : are watching a
7 : get away from
7 : on the back
7 : to get that
7 : Thats not a
7 : can do this
7 : all the stuff
7 : just got to
7 : really good at
7 : about the fact
7 : what was the
